# Time-averaged data for fix agcmcstat
# TimeStep v_wiatt v_wiacc v_wdatt v_wdacc v_nacn v_nmob
120400 15080 0 15020 1 319 349
120800 15130 0 15070 1 319 349
121200 15180 0 15120 1 319 349
121600 15222 0 15178 1 319 349
122000 15264 0 15236 1 319 349
122400 15316 0 15284 1 319 349
122800 15362 0 15338 1 319 349
123200 15409 0 15391 1 319 349
123600 15455 0 15445 1 319 349
124000 15503 0 15497 1 319 349
124400 15561 0 15539 1 319 349
124800 15613 0 15587 1 319 349
125200 15673 0 15627 1 319 349
125600 15723 0 15677 1 319 349
126000 15775 0 15725 1 319 349
126400 15821 0 15779 1 319 349
126800 15876 0 15824 1 319 349
127200 15927 0 15873 1 319 349
127600 15978 0 15922 1 319 349
128000 16028 0 15972 1 319 349
128400 16074 0 16026 1 319 349
128800 16123 0 16077 1 319 349
129200 16179 0 16121 1 319 349
129600 16221 0 16179 1 319 349
130000 16263 0 16237 1 319 349
130400 16309 0 16291 1 319 349
130800 16369 0 16331 1 319 349
131200 16414 0 16386 1 319 349
131600 16468 0 16432 1 319 349
132000 16511 0 16489 1 319 349
132400 16561 0 16539 1 319 349
132800 16610 0 16590 1 319 349
133200 16667 0 16633 1 319 349
133600 16713 0 16687 1 319 349
134000 16757 0 16743 1 319 349
134400 16805 0 16795 1 319 349
134800 16857 0 16843 1 319 349
135200 16906 0 16894 1 319 349
135600 16955 0 16945 1 319 349
136000 17008 0 16992 1 319 349
136400 17059 0 17041 1 319 349
136800 17105 0 17095 1 319 349
137200 17156 0 17144 1 319 349
137600 17205 0 17195 1 319 349
138000 17260 0 17240 1 319 349
138400 17309 0 17291 1 319 349
138800 17371 0 17329 1 319 349
139200 17416 0 17384 1 319 349
139600 17460 0 17440 1 319 349
140000 17506 0 17494 1 319 349
140400 17570 0 17530 1 319 349
140800 17625 0 17575 1 319 349
141200 17667 0 17633 1 319 349
141600 17714 0 17686 1 319 349
142000 17769 0 17731 1 319 349
142400 17811 0 17789 1 319 349
142800 17856 0 17844 1 319 349
143200 17915 0 17885 1 319 349
143600 17969 0 17931 1 319 349
144000 18025 0 17975 1 319 349
144400 18066 0 18034 1 319 349
144800 18112 0 18088 1 319 349
145200 18161 0 18139 1 319 349
145600 18211 0 18189 1 319 349
146000 18260 0 18240 1 319 349
