# Time-averaged data for fix cgcmcstat
# TimeStep v_ciatt v_ciacc v_cdatt v_cdacc v_nco2 v_nmob
141200 17721 0 17579 6 24 344
141600 17764 0 17636 6 24 344
142000 17814 0 17686 6 24 344
142400 17866 0 17734 6 24 344
142800 17909 0 17791 6 24 344
143200 17962 0 17838 6 24 344
143600 18016 0 17884 6 24 344
144000 18067 0 17933 6 24 344
144400 18122 0 17978 6 24 344
144800 18162 0 18038 6 24 344
145200 18209 0 18091 6 24 344
145600 18259 0 18141 6 24 344
146000 18301 0 18199 6 24 344
146400 18352 0 18248 6 24 344
146800 18402 0 18298 6 24 344
147200 18454 0 18346 6 24 344
147600 18499 0 18401 6 24 344
148000 18553 0 18447 6 24 344
148400 18603 0 18497 6 24 344
148800 18647 0 18553 6 24 344
149200 18700 0 18600 6 24 344
149600 18755 0 18645 6 24 344
150000 18802 0 18698 6 24 344
150400 18863 0 18737 6 24 344
150800 18911 0 18789 6 24 344
151200 18957 0 18843 6 24 344
151600 18998 0 18902 6 24 344
152000 19050 0 18950 6 24 344
152400 19107 0 18993 6 24 344
152800 19155 0 19045 6 24 344
153200 19208 0 19092 6 24 344
153600 19268 0 19132 6 24 344
154000 19328 1 19172 7 24 344
154400 19377 1 19223 7 24 344
154800 19418 1 19282 7 24 344
155200 19467 1 19333 7 24 344
155600 19511 1 19389 7 24 344
156000 19562 1 19438 7 24 344
156400 19615 1 19485 7 24 344
156800 19663 1 19537 7 24 344
157200 19715 1 19585 7 24 344
157600 19767 1 19633 7 24 344
158000 19815 1 19685 7 24 344
158400 19866 1 19734 7 24 344
158800 19917 1 19783 7 24 344
159200 19971 1 19829 7 24 344
159600 20030 1 19870 7 24 344
160000 20081 1 19919 7 24 344
160400 20130 1 19970 7 24 344
160800 20176 1 20024 7 24 344
161200 20225 1 20075 7 24 344
161600 20271 1 20129 7 24 344
162000 20318 1 20182 7 24 344
162400 20368 1 20232 7 24 344
162800 20426 1 20274 7 24 344
163200 20471 1 20329 7 24 344
163600 20516 1 20384 7 24 344
164000 20570 1 20430 7 24 344
164400 20622 1 20478 7 24 344
164800 20679 1 20521 7 24 344
165200 20722 1 20578 7 24 344
165600 20771 1 20629 7 24 344
166000 20822 1 20678 7 24 344
166400 20873 1 20727 7 24 344
166800 20925 1 20775 7 24 344
167200 20976 1 20824 8 23 343
167600 21024 1 20876 8 23 343
168000 21070 1 20930 8 23 343
168400 21119 1 20981 8 23 343
168800 21169 1 21031 8 23 343
169200 21214 1 21086 8 23 343
169600 21265 1 21135 8 23 343
170000 21323 1 21177 8 23 343
170400 21383 1 21217 8 23 343
170800 21441 1 21259 8 23 343
171200 21490 1 21310 8 23 343
171600 21532 1 21368 8 23 343
172000 21581 1 21419 8 23 343
172400 21631 1 21469 8 23 343
172800 21683 1 21517 8 23 343
173200 21734 1 21566 8 23 343
173600 21788 1 21612 8 23 343
174000 21834 1 21666 8 23 343
174400 21882 1 21718 8 23 343
174800 21925 1 21775 8 23 343
175200 21986 1 21814 8 23 343
175600 22039 1 21861 8 23 343
176000 22088 1 21912 8 23 343
176400 22143 1 21957 8 23 343
176800 22195 1 22005 8 23 343
177200 22247 1 22053 8 23 343
177600 22302 1 22098 8 23 343
178000 22355 2 22145 9 23 343
178400 22404 2 22196 9 23 343
178800 22467 2 22233 9 23 343
179200 22521 2 22279 9 23 343
179600 22571 2 22329 9 23 343
180000 22626 2 22374 9 23 343
180400 22676 2 22424 9 23 343
180800 22719 2 22481 9 23 343
181200 22773 2 22527 9 23 343
181600 22826 2 22574 9 23 343
182000 22868 2 22632 9 23 343
182400 22919 2 22681 9 23 343
182800 22961 2 22739 9 23 343
183200 23018 2 22782 9 23 343
183600 23070 2 22830 9 23 343
184000 23122 2 22878 9 23 343
184400 23169 2 22931 9 23 343
184800 23226 2 22974 9 23 343
185200 23289 2 23011 9 23 343
