# Time-averaged data for fix agcmcstat
# TimeStep v_wiatt v_wiacc v_wdatt v_wdacc v_nacn v_nmob
155600 19525 0 19375 0 320 344
156000 19567 0 19433 0 320 344
156400 19622 0 19478 0 320 344
156800 19673 0 19527 0 320 344
157200 19724 0 19576 0 320 344
157600 19783 0 19617 0 320 344
158000 19832 0 19668 0 320 344
158400 19885 0 19715 0 320 344
158800 19938 0 19762 0 320 344
159200 19991 0 19809 0 320 344
159600 20034 0 19866 0 320 344
160000 20092 0 19908 0 320 344
160400 20149 0 19951 0 320 344
160800 20188 0 20012 0 320 344
161200 20237 0 20063 0 320 344
161600 20288 0 20112 0 320 344
162000 20335 0 20165 0 320 344
162400 20386 0 20214 0 320 344
162800 20439 0 20261 0 320 344
163200 20498 0 20302 0 320 344
163600 20544 0 20356 0 320 344
164000 20597 0 20403 0 320 344
164400 20654 0 20446 0 320 344
164800 20701 0 20499 0 320 344
165200 20747 0 20553 0 320 344
165600 20797 0 20603 0 320 344
166000 20845 0 20655 0 320 344
166400 20893 0 20707 0 320 344
166800 20938 0 20762 0 320 344
167200 20988 0 20812 0 320 343
167600 21037 0 20863 0 320 343
168000 21081 0 20919 0 320 343
168400 21129 0 20971 0 320 343
168800 21182 0 21018 0 320 343
169200 21228 0 21072 0 320 343
169600 21279 0 21121 0 320 343
170000 21337 0 21163 0 320 343
170400 21389 0 21211 0 320 343
170800 21440 0 21260 0 320 343
171200 21484 0 21316 0 320 343
171600 21535 0 21365 0 320 343
172000 21591 0 21409 0 320 343
172400 21642 0 21458 0 320 343
172800 21695 0 21505 0 320 343
173200 21750 0 21550 0 320 343
173600 21798 0 21602 0 320 343
174000 21850 0 21650 0 320 343
174400 21904 0 21696 0 320 343
174800 21953 0 21747 0 320 343
175200 22014 0 21786 0 320 343
175600 22072 0 21828 0 320 343
176000 22120 0 21880 0 320 343
176400 22171 0 21929 0 320 343
176800 22229 0 21971 0 320 343
177200 22270 0 22030 0 320 343
177600 22323 0 22077 0 320 343
178000 22381 0 22119 0 320 343
178400 22438 0 22162 0 320 343
178800 22489 0 22211 0 320 343
179200 22544 0 22256 0 320 343
179600 22604 0 22296 0 320 343
180000 22664 0 22336 0 320 343
180400 22700 0 22400 0 320 343
180800 22755 0 22445 0 320 343
181200 22802 0 22498 0 320 343
181600 22855 0 22545 0 320 343
182000 22904 0 22596 0 320 343
182400 22961 0 22639 0 320 343
182800 23016 0 22684 0 320 343
183200 23068 0 22732 0 320 343
183600 23128 0 22772 0 320 343
184000 23178 0 22822 0 320 343
184400 23234 0 22866 0 320 343
184800 23290 0 22910 0 320 343
185200 23342 0 22958 0 320 343
185600 23397 0 23003 0 320 343
186000 23446 0 23054 0 320 343
186400 23494 0 23106 0 320 343
186800 23546 0 23154 0 320 343
187200 23601 0 23199 0 320 343
187600 23643 0 23257 0 320 343
188000 23689 0 23311 0 320 343
188400 23741 0 23359 0 320 343
188800 23794 0 23406 0 320 343
189200 23843 0 23457 0 320 343
189600 23890 0 23510 0 320 343
190000 23938 0 23562 0 320 343
190400 23987 0 23613 0 320 343
